NAME	adipose.stem.cells	B.cells	CD4..T.cells	CD8..T.cells	chondrocytes	endothelial.cells	eosinophils	erythroblasts	fibroblasts	keratinocytes	macrophages	mesenchymal.stromal.cells	monocytes	myeloid.dendritic.cells	neutrophils	NK.cells	osteoblasts	pc.adipocytes	plasmacytoid.dendritic.cells	platelets	sc.adipocytes	smooth.muscle.cells
MFAP5	10412.55011	38.60854113	27.3797455	31.10083989	1486.120419	100.5406223	25.76431501	44.25680436	297.7154011	42.47368264	46.63845644	2184.498652	39.00992308	45.6627737	40.39437126	34.66226248	5161.438382	1715.840762	32.38481383	32.39359473	1895.01714	949.5596908
CHRDL1	315.2489836	64.82268044	34.7865159	55.60617444	71.98640709	33.69702125	50.28284279	60.15047799	32.79477027	31.77708633	24.8667905	188.3855414	34.45048232	33.48511775	62.70635591	26.93713935	147.3261046	2967.776862	69.71989541	38.49783104	3928.442744	23.68304978
RRM2	637.2622379	106.3036999	271.4933184	370.3992958	515.0009328	8644.889477	380.2178632	8035.509046	1188.056533	571.252341	79.43197916	888.7935343	62.60651731	97.10334206	96.16880418	486.467572	148.0769498	98.63613494	90.12370835	507.0395575	84.31917867	1671.888957
KLK10	46.34859877	73.33106982	44.95584296	75.46243866	71.89131731	73.87414629	62.68420701	71.00177354	69.2319135	3094.3404	73.66198934	63.8806059	70.64505327	81.36576774	77.47666351	66.39851745	67.3637584	56.59279199	65.31238066	51.85415161	56.20598528	48.53438995
CD69	16.50119696	1344.707801	2514.601374	2535.895359	19.47806033	25.80370089	2307.237301	20.70112502	12.52418302	35.29361089	25.26553887	14.83644577	110.6408198	159.7619761	186.7207392	2705.893875	13.8746249	517.8566392	31.08248717	509.3078327	251.2311503	14.69831247
KRT16	61.31429428	106.865143	73.74902061	94.33779661	88.96411011	83.09410942	100.0718909	302.9021018	66.15258331	7607.939672	77.39126159	94.00440551	87.4513864	99.24989263	154.7947055	77.91454241	1122.602919	52.75753736	113.9176875	174.8958529	123.6904978	162.0176548
PHLDA2	350.1292703	11.87854575	13.32971963	12.00629933	287.5415615	1075.010663	10.3812356	13.5673567	824.2248678	6703.229821	286.8669862	664.6306179	55.21028115	48.65691067	14.44457986	11.69553909	814.8901961	136.4463507	14.14823856	11.54930586	162.8613601	1432.241654
TRGV9	33.94552302	90.79711168	1119.083207	5988.059215	33.18022253	41.26988365	155.0935827	109.8271067	35.67188043	35.18776128	55.05643604	34.99551844	150.927864	111.8426427	187.360357	4292.62876	37.88337724	93.29839245	41.08180288	1031.896334	73.70668613	47.00308305
FAM65B	123.7815632	5776.909149	6002.973542	4856.930685	27.14582332	26.80849461	4388.147394	52.89818753	200.6793884	30.68933412	37.90564644	44.61458056	2552.478312	2507.572077	5399.385475	4764.968726	36.77557864	236.8121244	2778.07182	2086.051489	129.5298237	44.47601171
LRRN3	77.6800575	169.4148733	2503.075057	3639.319507	57.0433466	64.24111642	78.31176493	86.40179638	52.78862662	49.18944592	52.16206378	138.0099566	82.94569543	45.9796779	84.99652804	57.05119322	119.9286128	92.74487953	51.45268321	494.6840286	88.47466568	2522.972921
SPP1	87.5624054	29.72525202	23.28702123	27.23012723	26.12661451	35.74692225	27.71740156	67.29494009	38.49260513	26.60609786	9834.97849	235.1518971	34.73999982	37.51047524	360.2827058	27.70510221	565.985817	178.1564673	25.69221733	28.06613724	130.9317178	59.09403137
AIF1	111.158524	370.976409	4982.603867	1380.89996	150.446888	183.1156447	648.3047339	403.4357763	170.0260296	105.2393888	2543.426088	126.7928331	11267.21616	6821.529758	6083.176252	231.9649861	113.6573256	306.5516122	995.5395794	711.6175248	250.9541748	161.7529297
SLC7A11	999.3153023	51.42253951	62.45144014	42.40347489	915.4393912	3527.565891	119.585745	1562.951484	193.3685079	996.5339592	1200.303025	383.8433479	48.85493209	122.9068217	123.8030768	53.10074483	5647.43411	35.01882722	2967.776862	137.0309918	34.08596898	1669.7489
CCL18	84.69065124	177.6511624	107.2039811	187.5451017	51.86769074	101.6215021	165.0413125	205.5608361	59.71974838	83.2718244	4975.256	76.52412858	127.0608183	111.3257659	153.1529494	124.2975753	98.17421022	228.5535847	81.25935199	146.0590112	218.9172898	104.1672018
NFE2	29.26213146	31.10083989	67.03531827	38.42968935	24.60611086	27.93624889	456.1663847	3967.114373	47.76923336	28.86794888	77.05130815	48.96440423	1055.166229	367.9323869	2053.113591	35.04736959	28.94982328	49.54284051	48.62788856	230.2450197	47.94010711	45.54914395
CD300A	55.47293609	259.394976	1458.845074	1634.57928	55.45121495	60.15845393	5498.448648	265.5741095	71.02427168	84.46872616	1353.488282	62.54461321	3244.425197	3896.684985	4835.080915	9969.225293	111.0845988	309.7001405	3494.71456	358.9658248	354.3673471	94.26857729
NCF2	33.03186969	401.4087549	1472.871666	155.750698	40.80973433	24.69047393	12484.25649	90.3905284	21.64855079	572.1386757	6411.812805	33.18908483	5972.430759	3881.173052	8640.466254	82.12268144	234.3955785	399.0433151	430.8249932	595.492833	464.7870153	33.68623272
FAP	2188.510708	57.15201842	57.2332125	57.24518356	2114.729026	417.8378919	106.4632239	49.87796687	4603.986713	52.21818969	38.1813144	2627.422301	53.26596688	63.47276444	74.82304919	52.03916078	3068.778243	95.93258016	53.20592304	42.99976648	132.3925755	978.0031503
EPOR	52.55118233	72.42807549	49.11062411	169.7053222	55.97267444	204.8408078	41.76972511	3482.2953	97.68746496	64.20260281	138.526736	63.52380811	107.1331206	41.03668199	389.7171301	74.00941104	65.23264525	38.72296573	54.04147291	173.9444818	48.54018738	183.7424566
PFKFB2	25.33307051	101.6578983	49.97026384	44.87608057	35.75155062	22.09390132	290.4956829	86.71628172	35.37827543	86.51560641	66.74526931	38.83486956	67.19464107	38.51687797	126.5118067	57.88364371	30.51354532	31.41659275	1332.324818	28.31264915	29.97759378	35.34561267
